GIORNATA,DATA,ORARIO,SQUADRA1,SQUADRA2,RISULTATO FINALE
17,21-12-2024,15:00,Torino,Bologna,0-2
17,21-12-2024,18:00,Genoa,Napoli,1-2
17,21-12-2024,20:45,Lecce,Lazio,1-2
17,22-12-2024,12:30,Roma,Parma,5-0
17,22-12-2024,15:00,Venezia,Cagliari,2-1
17,22-12-2024,18:00,Atalanta,Empoli,3-2
17,22-12-2024,20:45,Monza,Juventus,1-2
17,23-12-2024,18:30,Fiorentina,Udinese,1-2
17,23-12-2024,20:45,Inter,Como,2-0
18,28-12-2024,15:00,Empoli,Genoa,1-2
18,28-12-2024,15:00,Parma,Monza,2-1
18,28-12-2024,18:00,Cagliari,Inter,0-3
18,28-12-2024,20:45,Lazio,Atalanta,1-1
18,29-12-2024,12:30,Udinese,Torino,2-2
18,29-12-2024,15:00,Napoli,Venezia,1-0
18,29-12-2024,18:00,Juventus,Fiorentina,2-2
18,29-12-2024,20:45,Milan,Roma,1-1
18,30-12-2024,18:30,Como,Lecce,2-0
18,30-12-2024,20:45,Bologna,Verona,2-3
19,04-01-2025,15:00,Venezia,Empoli,1-1
19,04-01-2025,18:00,Fiorentina,Napoli,0-3
19,04-01-2025,20:45,Verona,Udinese,0-0
19,05-01-2025,12:30,Monza,Cagliari,1-2
19,05-01-2025,15:00,Lecce,Genoa,0-0
19,05-01-2025,18:00,Torino,Parma,0-0
19,05-01-2025,20:45,Roma,Lazio,2-0
19,14-01-2025,18:30,Como,Milan,1-2
19,14-01-2025,20:45,Atalanta,Juventus,1-1
19,15-01-2025,20:45,Inter,Bologna,2-2
20,10-01-2025,20:45,Lazio,Como,1-1
20,11-01-2025,15:00,Empoli,Lecce,1-3
20,11-01-2025,15:00,Udinese,Atalanta,0-0
20,11-01-2025,18:00,Torino,Juventus,1-1
20,11-01-2025,20:45,Milan,Cagliari,1-1
20,12-01-2025,12:30,Genoa,Parma,1-0
20,12-01-2025,15:00,Venezia,Inter,0-1
20,12-01-2025,18:00,Bologna,Roma,2-2
20,12-01-2025,20:45,Napoli,Verona,2-0
20,13-01-2025,20:45,Monza,Fiorentina,2-1
21,17-01-2025,20:45,Roma,Genoa,3-1
21,18-01-2025,15:00,Bologna,Monza,3-1
21,18-01-2025,18:00,Juventus,Milan,2-0
21,18-01-2025,20:45,Atalanta,Napoli,2-3
21,19-01-2025,12:30,Fiorentina,Torino,1-1
21,19-01-2025,15:00,Cagliari,Lecce,4-1
21,19-01-2025,15:00,Parma,Venezia,1-1
21,19-01-2025,18:00,Verona,Lazio,0-3
21,19-01-2025,20:45,Inter,Empoli,3-1
21,20-01-2025,20:45,Como,Udinese,4-1
22,24-01-2025,20:45,Torino,Cagliari,2-0
22,25-01-2025,15:00,Como,Atalanta,1-2
22,25-01-2025,18:00,Napoli,Juventus,2-1
22,25-01-2025,20:45,Empoli,Bologna,1-1
22,26-01-2025,12:30,Milan,Parma,3-2
22,26-01-2025,15:00,Udinese,Roma,1-2
22,26-01-2025,18:00,Lecce,Inter,0-4
22,26-01-2025,20:45,Lazio,Fiorentina,1-2
22,27-01-2025,18:30,Venezia,Verona,1-1
22,27-01-2025,20:45,Genoa,Monza,2-0
23,31-01-2025,20:45,Parma,Lecce,1-3
23,01-02-2025,15:00,Monza,Verona,0-1
23,01-02-2025,15:00,Udinese,Venezia,3-2
23,01-02-2025,18:00,Atalanta,Torino,1-1
23,01-02-2025,20:45,Bologna,Como,2-0
23,02-02-2025,12:30,Juventus,Empoli,4-1
23,02-02-2025,15:00,Fiorentina,Genoa,2-1
23,02-02-2025,18:00,Milan,Inter,1-1
23,02-02-2025,20:45,Roma,Napoli,1-1
23,03-02-2025,20:45,Cagliari,Lazio,1-2
24,07-02-2025,20:45,Como,Juventus,1-2
24,08-02-2025,15:00,Verona,Atalanta,0-5
24,08-02-2025,18:00,Empoli,Milan,0-2
24,08-02-2025,20:45,Torino,Genoa,1-1
24,09-02-2025,12:30,Venezia,Roma,0-1
